"Team","Rank","id","ye","mo","Date"
"Bulgaria",43,12014,2017,11,"2017-11"
"Burkina Faso",44,12014,2017,11,"2017-11"
"Cameroon",45,12014,2017,11,"2017-11"
"Montenegro",46,12014,2017,11,"2017-11"
"Greece",47,12014,2017,11,"2017-11"
"Czech Republic",48,12014,2017,11,"2017-11"
"Bolivia",49,12014,2017,11,"2017-11"
"Nigeria",50,12014,2017,11,"2017-11"
"Ghana",51,12014,2017,11,"2017-11"
"Venezuela",52,12014,2017,11,"2017-11"
"Hungary",53,12014,2017,11,"2017-11"
"Jamaica",54,12014,2017,11,"2017-11"
"Japan",55,12014,2017,11,"2017-11"
"Panama",56,12014,2017,11,"2017-11"
"Haiti",57,12014,2017,11,"2017-11"
"Norway",58,12014,2017,11,"2017-11"
"Korea Republic",59,12014,2017,11,"2017-11"
"China PR",60,12014,2017,11,"2017-11"
"Côte d'Ivoire",61,12014,2017,11,"2017-11"
"Albania",62,12014,2017,11,"2017-11"
"Saudi Arabia",63,12014,2017,11,"2017-11"
"Algeria",64,12014,2017,11,"2017-11"
"Russia",65,12014,2017,11,"2017-11"
"Guinea",66,12014,2017,11,"2017-11"
"Finland",67,12014,2017,11,"2017-11"
"Cape Verde Islands",68,12014,2017,11,"2017-11"
"Slovenia",69,12014,2017,11,"2017-11"
"Honduras",70,12014,2017,11,"2017-11"
"Ecuador",71,12014,2017,11,"2017-11"
"Mali",72,12014,2017,11,"2017-11"
"United Arab Emirates",73,12014,2017,11,"2017-11"
"Uganda",74,12014,2017,11,"2017-11"
"Zambia",75,12014,2017,11,"2017-11"
"FYR Macedonia",76,12014,2017,11,"2017-11"
"Libya",77,12014,2017,11,"2017-11"
"Syria",77,12014,2017,11,"2017-11"
"Iraq",79,12014,2017,11,"2017-11"
"Uzbekistan",80,12014,2017,11,"2017-11"
"South Africa",81,12014,2017,11,"2017-11"
"Benin",82,12014,2017,11,"2017-11"
"Palestine",82,12014,2017,11,"2017-11"
"Luxembourg",84,12014,2017,11,"2017-11"
"Estonia",84,12014,2017,11,"2017-11"
"Curacao",84,12014,2017,11,"2017-11"
"Lebanon",87,12014,2017,11,"2017-11"
"Guinea-Bissau",88,12014,2017,11,"2017-11"
"Trinidad and Tobago",89,12014,2017,11,"2017-11"
"Armenia",90,12014,2017,11,"2017-11"
"Cyprus",91,12014,2017,11,"2017-11"
"Belarus",92,12014,2017,11,"2017-11"
"Gabon",93,12014,2017,11,"2017-11"
"Canada",94,12014,2017,11,"2017-11"
"Faroe Islands",95,12014,2017,11,"2017-11"
"Congo",96,12014,2017,11,"2017-11"
"Sierra Leone",97,12014,2017,11,"2017-11"
"Israel",98,12014,2017,11,"2017-11"
"Mauritania",99,12014,2017,11,"2017-11"
"El Salvador",100,12014,2017,11,"2017-11"
"Oman",101,12014,2017,11,"2017-11"
"Qatar",102,12014,2017,11,"2017-11"
"Zimbabwe",103,12014,2017,11,"2017-11"
"Georgia",104,12014,2017,11,"2017-11"
"India",105,12014,2017,11,"2017-11"
"Nicaragua",106,12014,2017,11,"2017-11"
"Jordan",107,12014,2017,11,"2017-11"
"Madagascar",108,12014,2017,11,"2017-11"
"Niger",108,12014,2017,11,"2017-11"
"Mozambique",110,12014,2017,11,"2017-11"
"Kenya",111,12014,2017,11,"2017-11"
"Turkmenistan",112,12014,2017,11,"2017-11"
"St. Kitts and Nevis",113,12014,2017,11,"2017-11"
"Korea DPR",114,12014,2017,11,"2017-11"
"Bahrain",115,12014,2017,11,"2017-11"
"Kyrgyz Republic",115,12014,2017,11,"2017-11"
"Azerbaijan",117,12014,2017,11,"2017-11"
"Philippines",118,12014,2017,11,"2017-11"
"Namibia",119,12014,2017,11,"2017-11"
"Rwanda",120,12014,2017,11,"2017-11"
"Yemen",121,12014,2017,11,"2017-11"
"New Zealand",122,12014,2017,11,"2017-11"
"Togo",123,12014,2017,11,"2017-11"
"Central African Republic",123,12014,2017,11,"2017-11"
"Vietnam",125,12014,2017,11,"2017-11"
"Malawi",126,12014,2017,11,"2017-11"
"Tajikistan",127,12014,2017,11,"2017-11"
"Suriname",128,12014,2017,11,"2017-11"
"Guatemala",129,12014,2017,11,"2017-11"
"Comoros",130,12014,2017,11,"2017-11"
"Latvia",131,12014,2017,11,"2017-11"
"Thailand",132,12014,2017,11,"2017-11"
"Swaziland",133,12014,2017,11,"2017-11"
"Liberia",134,12014,2017,11,"2017-11"
"Chinese Taipei",135,12014,2017,11,"2017-11"
"Kazakhstan",136,12014,2017,11,"2017-11"
"Sudan",137,12014,2017,11,"2017-11"
"Burundi",138,12014,2017,11,"2017-11"
"Andorra",139,12014,2017,11,"2017-11"
"Antigua and Barbuda",140,12014,2017,11,"2017-11"
"Angola",141,12014,2017,11,"2017-11"
"Tanzania",142,12014,2017,11,"2017-11"
"Hong Kong",143,12014,2017,11,"2017-11"
"Lesotho",144,12014,2017,11,"2017-11"
"Equatorial Guinea",145,12014,2017,11,"2017-11"
"Ethiopia",145,12014,2017,11,"2017-11"
"Afghanistan",147,12014,2017,11,"2017-11"
"Lithuania",148,12014,2017,11,"2017-11"
"Solomon Islands",148,12014,2017,11,"2017-11"
"Myanmar",150,12014,2017,11,"2017-11"
"Botswana",150,12014,2017,11,"2017-11"
"South Sudan",152,12014,2017,11,"2017-11"
"Tahiti",153,12014,2017,11,"2017-11"
"Indonesia",154,12014,2017,11,"2017-11"
"Barbados",154,12014,2017,11,"2017-11"
"New Caledonia",156,12014,2017,11,"2017-11"
"Maldives",157,12014,2017,11,"2017-11"
"Belize",157,12014,2017,11,"2017-11"
"Mauritius",159,12014,2017,11,"2017-11"
"Grenada",160,12014,2017,11,"2017-11"
"Papua New Guinea",161,12014,2017,11,"2017-11"
"Dominican Republic",162,12014,2017,11,"2017-11"
"Gambia",163,12014,2017,11,"2017-11"
"Guyana",164,12014,2017,11,"2017-11"
"Puerto Rico",165,12014,2017,11,"2017-11"
"Dominica",166,12014,2017,11,"2017-11"
"Moldova",166,12014,2017,11,"2017-11"
"Chad",168,12014,2017,11,"2017-11"
"St. Vincent / Grenadines",169,12014,2017,11,"2017-11"
"Nepal",170,12014,2017,11,"2017-11"
"Cuba",170,12014,2017,11,"2017-11"
"Singapore",170,12014,2017,11,"2017-11"
"Cambodia",170,12014,2017,11,"2017-11"
"Kosovo",174,12014,2017,11,"2017-11"
"Malaysia",174,12014,2017,11,"2017-11"
"St. Lucia",174,12014,2017,11,"2017-11"
"São Tomé e Príncipe",177,12014,2017,11,"2017-11"
"Fiji",178,12014,2017,11,"2017-11"
"Aruba",179,12014,2017,11,"2017-11"
"Bermuda",180,12014,2017,11,"2017-11"
"Malta",181,12014,2017,11,"2017-11"
"Macau",182,12014,2017,11,"2017-11"
"Djibouti",183,12014,2017,11,"2017-11"
"Laos",184,12014,2017,11,"2017-11"
"Vanuatu",185,12014,2017,11,"2017-11"
"Bhutan",185,12014,2017,11,"2017-11"
"Liechtenstein",187,12014,2017,11,"2017-11"
"Kuwait",188,12014,2017,11,"2017-11"
"Seychelles",189,12014,2017,11,"2017-11"
"Brunei Darussalam",190,12014,2017,11,"2017-11"
"Guam",191,12014,2017,11,"2017-11"
"Bangladesh",192,12014,2017,11,"2017-11"
"American Samoa",192,12014,2017,11,"2017-11"
"Cook Islands",192,12014,2017,11,"2017-11"
"Samoa",192,12014,2017,11,"2017-11"
"Timor-Leste",196,12014,2017,11,"2017-11"
"US Virgin Islands",197,12014,2017,11,"2017-11"
"Montserrat",198,12014,2017,11,"2017-11"
"Mongolia",199,12014,2017,11,"2017-11"
"Sri Lanka",200,12014,2017,11,"2017-11"
"Pakistan",201,12014,2017,11,"2017-11"
"Turks and Caicos Islands",202,12014,2017,11,"2017-11"
"Cayman Islands",202,12014,2017,11,"2017-11"
"San Marino",204,12014,2017,11,"2017-11"
"British Virgin Islands",205,12014,2017,11,"2017-11"
"Anguilla",206,12014,2017,11,"2017-11"
"Bahamas",206,12014,2017,11,"2017-11"
"Eritrea",206,12014,2017,11,"2017-11"
"Gibraltar",206,12014,2017,11,"2017-11"
"Somalia",206,12014,2017,11,"2017-11"
"Tonga",206,12014,2017,11,"2017-11"
"Germany",1,12042,2017,12,"2017-12"
"Brazil",2,12042,2017,12,"2017-12"
"Portugal",3,12042,2017,12,"2017-12"
"Argentina",4,12042,2017,12,"2017-12"
"Belgium",5,12042,2017,12,"2017-12"
"Spain",6,12042,2017,12,"2017-12"
"Poland",7,12042,2017,12,"2017-12"
"Switzerland",8,12042,2017,12,"2017-12"
"France",9,12042,2017,12,"2017-12"
"Chile",10,12042,2017,12,"2017-12"
"Peru",11,12042,2017,12,"2017-12"
"Denmark",12,12042,2017,12,"2017-12"
"Colombia",13,12042,2017,12,"2017-12"
"Italy",14,12042,2017,12,"2017-12"
"England",15,12042,2017,12,"2017-12"
"Mexico",16,12042,2017,12,"2017-12"
"Croatia",17,12042,2017,12,"2017-12"
"Sweden",18,12042,2017,12,"2017-12"
"Wales",19,12042,2017,12,"2017-12"
"Netherlands",20,12042,2017,12,"2017-12"
"Uruguay",21,12042,2017,12,"2017-12"
"Iceland",22,12042,2017,12,"2017-12"
"Senegal",23,12042,2017,12,"2017-12"
"USA",24,12042,2017,12,"2017-12"
"Northern Ireland",24,12042,2017,12,"2017-12"
"Costa Rica",26,12042,2017,12,"2017-12"
"Tunisia",27,12042,2017,12,"2017-12"
"Slovakia",28,12042,2017,12,"2017-12"
"Austria",29,12042,2017,12,"2017-12"
"Paraguay",30,12042,2017,12,"2017-12"
"Egypt",31,12042,2017,12,"2017-12"
"Republic of Ireland",32,12042,2017,12,"2017-12"
"IR Iran",32,12042,2017,12,"2017-12"
"Scotland",32,12042,2017,12,"2017-12"
"Ukraine",35,12042,2017,12,"2017-12"
"Serbia",36,12042,2017,12,"2017-12"
"Bosnia and Herzegovina",37,12042,2017,12,"2017-12"
"Australia",38,12042,2017,12,"2017-12"
"Congo DR",39,12042,2017,12,"2017-12"
"Morocco",40,12042,2017,12,"2017-12"
"Romania",41,12042,2017,12,"2017-12"
"Turkey",42,12042,2017,12,"2017-12"
"Bulgaria",43,12042,2017,12,"2017-12"
"Burkina Faso",44,12042,2017,12,"2017-12"
"Cameroon",45,12042,2017,12,"2017-12"
"Montenegro",46,12042,2017,12,"2017-12"
"Greece",47,12042,2017,12,"2017-12"
"Czech Republic",48,12042,2017,12,"2017-12"
"Bolivia",49,12042,2017,12,"2017-12"
"Ghana",50,12042,2017,12,"2017-12"
"Nigeria",51,12042,2017,12,"2017-12"
"Venezuela",52,12042,2017,12,"2017-12"
"Hungary",53,12042,2017,12,"2017-12"
"Jamaica",54,12042,2017,12,"2017-12"
"Panama",55,12042,2017,12,"2017-12"
"Haiti",56,12042,2017,12,"2017-12"
"Japan",57,12042,2017,12,"2017-12"
"Algeria",58,12042,2017,12,"2017-12"
"Norway",59,12042,2017,12,"2017-12"
"Korea Republic",60,12042,2017,12,"2017-12"
"Côte d'Ivoire",61,12042,2017,12,"2017-12"
"Albania",62,12042,2017,12,"2017-12"
"Saudi Arabia",63,12042,2017,12,"2017-12"
"Russia",64,12042,2017,12,"2017-12"
"Guinea",65,12042,2017,12,"2017-12"
"Finland",66,12042,2017,12,"2017-12"
"Cape Verde Islands",67,12042,2017,12,"2017-12"
"Honduras",68,12042,2017,12,"2017-12"
"Slovenia",69,12042,2017,12,"2017-12"
"Ecuador",70,12042,2017,12,"2017-12"
"China PR",71,12042,2017,12,"2017-12"
"Mali",72,12042,2017,12,"2017-12"
"United Arab Emirates",73,12042,2017,12,"2017-12"
"Zambia",74,12042,2017,12,"2017-12"
"Uganda",75,12042,2017,12,"2017-12"
"FYR Macedonia",76,12042,2017,12,"2017-12"
"Syria",77,12042,2017,12,"2017-12"
"Uzbekistan",78,12042,2017,12,"2017-12"
"Iraq",79,12042,2017,12,"2017-12"
"Palestine",80,12042,2017,12,"2017-12"
"South Africa",81,12042,2017,12,"2017-12"
"Benin",82,12042,2017,12,"2017-12"
"Luxembourg",83,12042,2017,12,"2017-12"
"Curacao",83,12042,2017,12,"2017-12"
"Lebanon",85,12042,2017,12,"2017-12"
"Guinea-Bissau",86,12042,2017,12,"2017-12"
"Trinidad and Tobago",87,12042,2017,12,"2017-12"
"Libya",88,12042,2017,12,"2017-12"
"Estonia",89,12042,2017,12,"2017-12"
"Armenia",90,12042,2017,12,"2017-12"
"Cyprus",91,12042,2017,12,"2017-12"
"Belarus",92,12042,2017,12,"2017-12"
"Gabon",93,12042,2017,12,"2017-12"
"Canada",94,12042,2017,12,"2017-12"
"Faroe Islands",95,12042,2017,12,"2017-12"
"Congo",96,12042,2017,12,"2017-12"
"Sierra Leone",97,12042,2017,12,"2017-12"
"Israel",98,12042,2017,12,"2017-12"
"Mauritania",99,12042,2017,12,"2017-12"
"El Salvador",100,12042,2017,12,"2017-12"
"Oman",101,12042,2017,12,"2017-12"
"Qatar",102,12042,2017,12,"2017-12"
"Zimbabwe",103,12042,2017,12,"2017-12"
"Georgia",104,12042,2017,12,"2017-12"
"India",105,12042,2017,12,"2017-12"
"Kenya",106,12042,2017,12,"2017-12"
"Jordan",107,12042,2017,12,"2017-12"
"Madagascar",108,12042,2017,12,"2017-12"
"Niger",108,12042,2017,12,"2017-12"
"Mozambique",110,12042,2017,12,"2017-12"
"St. Kitts and Nevis",111,12042,2017,12,"2017-12"
"Vietnam",112,12042,2017,12,"2017-12"
"Rwanda",113,12042,2017,12,"2017-12"
"Turkmenistan",114,12042,2017,12,"2017-12"
"Bahrain",115,12042,2017,12,"2017-12"
"Kyrgyz Republic",115,12042,2017,12,"2017-12"
"Azerbaijan",117,12042,2017,12,"2017-12"
"Namibia",118,12042,2017,12,"2017-12"
"Nicaragua",119,12042,2017,12,"2017-12"
"Yemen",120,12042,2017,12,"2017-12"
"New Zealand",121,12042,2017,12,"2017-12"
"Togo",122,12042,2017,12,"2017-12"
"Central African Republic",122,12042,2017,12,"2017-12"
"Philippines",124,12042,2017,12,"2017-12"
"Malawi",125,12042,2017,12,"2017-12"
"Tajikistan",126,12042,2017,12,"2017-12"
"Korea DPR",126,12042,2017,12,"2017-12"
"Suriname",128,12042,2017,12,"2017-12"
"Guatemala",129,12042,2017,12,"2017-12"
"Thailand",130,12042,2017,12,"2017-12"
"Comoros",131,12042,2017,12,"2017-12"
"Latvia",132,12042,2017,12,"2017-12"
"Swaziland",133,12042,2017,12,"2017-12"
"Liberia",134,12042,2017,12,"2017-12"
"Chinese Taipei",135,12042,2017,12,"2017-12"
"Sudan",136,12042,2017,12,"2017-12"
"Kazakhstan",137,12042,2017,12,"2017-12"
"Andorra",138,12042,2017,12,"2017-12"
"Antigua and Barbuda",139,12042,2017,12,"2017-12"
"Myanmar",140,12042,2017,12,"2017-12"
"Angola",141,12042,2017,12,"2017-12"
"Burundi",142,12042,2017,12,"2017-12"
"Ethiopia",143,12042,2017,12,"2017-12"
"Hong Kong",144,12042,2017,12,"2017-12"
"Lesotho",145,12042,2017,12,"2017-12"
"Equatorial Guinea",146,12042,2017,12,"2017-12"
"Tanzania",147,12042,2017,12,"2017-12"
"Afghanistan",148,12042,2017,12,"2017-12"
"Lithuania",149,12042,2017,12,"2017-12"
"Botswana",150,12042,2017,12,"2017-12"
"Solomon Islands",151,12042,2017,12,"2017-12"
"Tahiti",152,12042,2017,12,"2017-12"
"South Sudan",153,12042,2017,12,"2017-12"
"New Caledonia",154,12042,2017,12,"2017-12"
"Maldives",155,12042,2017,12,"2017-12"
"Barbados",155,12042,2017,12,"2017-12"
"Vanuatu",157,12042,2017,12,"2017-12"
"Belize",158,12042,2017,12,"2017-12"
"Mauritius",159,12042,2017,12,"2017-12"
"Papua New Guinea",160,12042,2017,12,"2017-12"
"Grenada",161,12042,2017,12,"2017-12"
